index,x,y
1,0.06404431693476983,0.06047088010849638
2,0.93584570347805041,0.06035701104330040
3,0.06465502156510652,0.94008788292923295
4,0.93524168383841111,0.94019784911055126
5,0.28010052610425140,0.06257577977880907
6,0.71956113136998889,0.06233140170283436
7,0.28236064451326887,0.93810234355524758
8,0.71729849090816022,0.93836779900038736
9,0.04341832304702747,0.28386968274977487
10,0.95678790673933545,0.28376979529994850
11,0.06966041641665113,0.73113022030628871
12,0.93026151311413874,0.73138219872884402
13,0.49975751964353898,0.07106272558728544
14,0.49974988591351205,0.92503842609058806
15,0.07047031121068784,0.51523757058716679
16,0.92968119494936463,0.51542106855416869
17,0.71060354625409294,0.35792392448956206
18,0.35528558748279065,0.65960087809022094
19,0.29056654641265361,0.35772817410047930
20,0.64452297348309184,0.66011046510734939
21,0.50133665655105830,0.37631099664402512
